incident_id,No,Type,Status,Age Group,Gender
448569,1,Subject-Suspect,Unharmed,Adult 18+,Male
450363,0,Victim,Killed,Adult 18+,Male
450363,1,Subject-Suspect,Unharmed,Adult 18+,Female
449245,0,Victim,Killed,Adult 18+,Male
450772,0,Victim,Killed,Adult 18+,Male
450772,1,Subject-Suspect,"Unharmed, Arrested",Adult 18+,Male
448894,0,Victim,Injured,Adult 18+,Male
448894,1,Subject-Suspect,"Unharmed, Arrested",Adult 18+,Male
448894,2,Subject-Suspect,Unharmed,,Male
449087,0,Victim,Injured,Adult 18+,Male
449087,1,Subject-Suspect,Unharmed,Adult 18+,Male
449172,0,Victim,Injured,Adult 18+,Female
449175,0,Victim,Injured,Adult 18+,Male
449182,0,Victim,Injured,Adult 18+,Male
449182,1,Subject-Suspect,"Unharmed, Arrested",Adult 18+,Male
449764,0,Victim,Unharmed,Adult 18+,Male
449764,1,Subject-Suspect,Unharmed,Adult 18+,Male
449764,2,Subject-Suspect,Unharmed,Adult 18+,Male
449764,3,Subject-Suspect,Unharmed,Adult 18+,Male
449764,4,Subject-Suspect,Unharmed,Adult 18+,Male
449764,5,Subject-Suspect,Unharmed,Adult 18+,Male
449764,6,Subject-Suspect,Unharmed,Adult 18+,Male
449764,7,Subject-Suspect,Unharmed,Adult 18+,Male
449773,0,Victim,Injured,Adult 18+,Male
449572,0,Victim,Killed,Adult 18+,Male
449572,1,Subject-Suspect,"Unharmed, Arrested",Adult 18+,Male
448565,0,Victim,Injured,Adult 18+,Male
448565,1,Subject-Suspect,Unharmed,Adult 18+,Male
450270,0,Subject-Suspect,"Unharmed, Arrested",Teen 12-17,Male
449787,0,Subject-Suspect,"Unharmed, Arrested",Adult 18+,Male
449795,0,Subject-Suspect,Unharmed,Adult 18+,Male
455964,0,Victim,Killed,Adult 18+,Male
455964,1,Victim,Injured,,
455964,2,Subject-Suspect,"Unharmed, Arrested",Adult 18+,Male
449803,0,Subject-Suspect,"Unharmed, Arrested",Adult 18+,Male
453255,0,Subject-Suspect,"Unharmed, Arrested",Adult 18+,Male
449333,0,Victim,Unharmed,Adult 18+,Male
449333,1,Subject-Suspect,"Unharmed, Arrested",Adult 18+,Male
449333,2,Subject-Suspect,"Unharmed, Arrested",Adult 18+,Female
449631,0,Victim,Injured,Adult 18+,Male
449631,1,Subject-Suspect,"Unharmed, Arrested",Adult 18+,Male
449168,0,Victim,Injured,Adult 18+,Male
449703,0,Victim,Killed,Adult 18+,Male
449705,0,Victim,Injured,Adult 18+,Male
449705,1,Victim,Unharmed,Child 0-11,Male
449705,2,Victim,Unharmed,,Male
449015,0,Victim,Injured,Adult 18+,Male
449044,0,Victim,Injured,Adult 18+,Male
449693,0,Victim,Killed,Adult 18+,Male
449724,0,Victim,Injured,Adult 18+,Female
